index,val
"(1, 1, 1, 1)",2.9293e-41
"(15, 28, 1, 1)",0.00023980814
"(16, 28, 1, 1)",0.0021582732
"(17, 28, 1, 1)",0.0023980814
"(18, 28, 1, 1)",0.0011990407
"(19, 28, 1, 1)",0.0014388488
"(16, 29, 1, 1)",0.0026378895
"(17, 29, 1, 1)",0.1844125
"(18, 29, 1, 1)",0.1467632
"(19, 29, 1, 1)",0.02565947
"(20, 29, 1, 1)",0.0023980814
"(14, 30, 1, 1)",0.0021582732
"(15, 30, 1, 1)",0.021582732
"(16, 30, 1, 1)",0.11103191
"(17, 30, 1, 1)",0.4527662
"(18, 30, 1, 1)",1.6511619
"(19, 30, 1, 1)",0.37626386
"(20, 30, 1, 1)",0.0014388488
"(14, 31, 1, 1)",0.00023980814
"(15, 31, 1, 1)",0.00047961628
"(16, 31, 1, 1)",0.0021582732
"(17, 31, 1, 1)",0.0026378895
"(18, 31, 1, 1)",0.005515587
"(19, 31, 1, 1)",0.0011990407
"(78, 67, 1, 1)",2.9293e-41
"(1, 1, 1, 2)",2.9293e-41
"(12, 27, 1, 2)",0.00047961628
"(13, 27, 1, 2)",0.00071942445
"(14, 27, 1, 2)",0.0016786569
"(15, 27, 1, 2)",0.003597122
"(16, 27, 1, 2)",0.001918465
"(12, 28, 1, 2)",0.00023980814
"(13, 28, 1, 2)",0.005515587
"(14, 28, 1, 2)",0.021342924
"(15, 28, 1, 2)",0.038129494
"(16, 28, 1, 2)",0.07961656
"(17, 28, 1, 2)",0.05875299
"(18, 28, 1, 2)",0.013908871
"(19, 28, 1, 2)",0.0026378895
"(21, 28, 1, 2)",0.00071942445
"(22, 28, 1, 2)",0.00047961628
"(11, 29, 1, 2)",0.00047961628
"(12, 29, 1, 2)",0.0067146276
"(13, 29, 1, 2)",0.025899278
"(14, 29, 1, 2)",0.012470023
"(16, 29, 1, 2)",0.15563597
"(17, 29, 1, 2)",1.2014449
"(18, 29, 1, 2)",0.43933633
"(19, 29, 1, 2)",0.078897126
"(20, 29, 1, 2)",0.008633093
"(21, 29, 1, 2)",0.0026378895
"(22, 29, 1, 2)",0.00047961628
"(10, 30, 1, 2)",0.00023980814
"(11, 30, 1, 2)",0.0043165465
"(12, 30, 1, 2)",0.025179854
"(13, 30, 1, 2)",0.12685944
"(14, 30, 1, 2)",0.2836936
"(15, 30, 1, 2)",0.46955356
"(16, 30, 1, 2)",0.7628199
"(17, 30, 1, 2)",1.2786763
"(18, 30, 1, 2)",2.229678
"(19, 30, 1, 2)",0.46044043
"(20, 30, 1, 2)",0.005515587
"(12, 31, 1, 2)",0.00047961628
"(13, 31, 1, 2)",0.0062350114
"(14, 31, 1, 2)",0.005755395
"(15, 31, 1, 2)",0.009352517
"(16, 31, 1, 2)",0.016067145
"(17, 31, 1, 2)",0.012709831
"(18, 31, 1, 2)",0.012949639
"(19, 31, 1, 2)",0.0023980814
"(20, 31, 1, 2)",0.00023980814
"(78, 67, 1, 2)",2.9293e-41
"(1, 1, 1, 3)",2.9293e-41
"(11, 26, 1, 3)",0.00047961628
"(12, 26, 1, 3)",0.00023980814
"(13, 26, 1, 3)",0.00023980814
"(14, 26, 1, 3)",0.00047961628
"(8, 27, 1, 3)",0.00047961628
"(9, 27, 1, 3)",0.00071942445
"(10, 27, 1, 3)",0.0014388488
"(11, 27, 1, 3)",0.0033573138
"(12, 27, 1, 3)",0.005035971
"(13, 27, 1, 3)",0.013189447
"(14, 27, 1, 3)",0.015827337
"(15, 27, 1, 3)",0.017745802
"(16, 27, 1, 3)",0.007434052
"(17, 27, 1, 3)",0.0016786569
"(19, 27, 1, 3)",0.00047961628
"(9, 28, 1, 3)",0.00071942445
"(10, 28, 1, 3)",0.0040767384
"(11, 28, 1, 3)",0.013908871
"(12, 28, 1, 3)",0.040527575
"(13, 28, 1, 3)",0.09160715
"(14, 28, 1, 3)",0.15611558
"(15, 28, 1, 3)",0.21678609
"(16, 28, 1, 3)",0.2282967
"(17, 28, 1, 3)",0.11750683
"(18, 28, 1, 3)",0.023980813
"(19, 28, 1, 3)",0.007913669
"(20, 28, 1, 3)",0.005515587
"(21, 28, 1, 3)",0.00095923257
"(22, 28, 1, 3)",0.00023980814
"(8, 29, 1, 3)",0.00023980814
"(9, 29, 1, 3)",0.00383693
"(10, 29, 1, 3)",0.013429255
"(11, 29, 1, 3)",0.030215824
"(12, 29, 1, 3)",0.13261475
"(13, 29, 1, 3)",0.26210988
"(14, 29, 1, 3)",0.13741083
"(16, 29, 1, 3)",0.5726668
"(17, 29, 1, 3)",1.8936493
"(18, 29, 1, 3)",0.5208723
"(19, 29, 1, 3)",0.09352565
"(20, 29, 1, 3)",0.010551558
"(21, 29, 1, 3)",0.0040767384
"(22, 29, 1, 3)",0.0011990407
"(8, 30, 1, 3)",0.00095923257
"(9, 30, 1, 3)",0.009832134
"(10, 30, 1, 3)",0.050359707
"(11, 30, 1, 3)",0.1189457
"(12, 30, 1, 3)",0.17841738
"(13, 30, 1, 3)",0.51751524
"(14, 30, 1, 3)",0.72709125
"(15, 30, 1, 3)",0.86401105
"(16, 30, 1, 3)",1.0695279
"(17, 30, 1, 3)",1.4153903
"(18, 30, 1, 3)",2.2236817
"(19, 30, 1, 3)",0.4525264
"(20, 30, 1, 3)",0.0059952033
"(21, 30, 1, 3)",0.00071942445
"(7, 31, 1, 3)",0.00023980814
"(9, 31, 1, 3)",0.0011990407
"(10, 31, 1, 3)",0.0011990407
"(11, 31, 1, 3)",0.0014388488
